TIME_TO_INTERVAL,Year,Month,Date,Weekday,Day,Hour,minute,power,dayofweek,isholiday,Temperature,RH,WS,pre_power_15,pre_power_30,pre_power_45,feel_temp
2022/1/5 00:15,2022,1,2022/1/5 00:00,3,5,0,15,3.44,2,0,19.3,74,0.8,2.92,3.1,3.02,20.73619365
2022/1/5 00:30,2022,1,2022/1/5 00:00,3,5,0,30,3.1,2,0,19.3,74,0.8,3.44,2.92,3.1,20.73619365
2022/1/5 00:45,2022,1,2022/1/5 00:00,3,5,0,45,3.02,2,0,19.3,74,0.8,3.1,3.44,2.92,20.73619365
2022/1/5 00:59,2022,1,2022/1/5 00:00,3,5,0,59,2.97,2,0,19.3,74,0.8,3.02,3.1,3.44,20.73619365
2022/1/5 01:15,2022,1,2022/1/5 00:00,3,5,1,15,3.39,2,0,16.8,93,0.4,2.97,3.02,3.1,18.56662299
2022/1/5 01:30,2022,1,2022/1/5 00:00,3,5,1,30,3.02,2,0,16.8,93,0.4,3.39,2.97,3.02,18.56662299
2022/1/5 01:45,2022,1,2022/1/5 00:00,3,5,1,45,2.97,2,0,16.8,93,0.4,3.02,3.39,2.97,18.56662299
2022/1/5 01:59,2022,1,2022/1/5 00:00,3,5,1,59,3.15,2,0,16.8,93,0.4,2.97,3.02,3.39,18.56662299
2022/1/5 02:15,2022,1,2022/1/5 00:00,3,5,2,15,3.39,2,0,16.9,93,0.6,3.15,2.97,3.02,18.56618908
2022/1/5 02:30,2022,1,2022/1/5 00:00,3,5,2,30,3.02,2,0,16.9,93,0.6,3.39,3.15,2.97,18.56618908
2022/1/5 02:45,2022,1,2022/1/5 00:00,3,5,2,45,3.58,2,0,16.9,93,0.6,3.02,3.39,3.15,18.56618908
2022/1/5 02:59,2022,1,2022/1/5 00:00,3,5,2,59,3.74,2,0,16.9,93,0.6,3.58,3.02,3.39,18.56618908
2022/1/5 03:15,2022,1,2022/1/5 00:00,3,5,3,15,3.87,2,0,16.3,94,0.2,3.74,3.58,3.02,18.08764047
2022/1/5 03:30,2022,1,2022/1/5 00:00,3,5,3,30,3.55,2,0,16.3,94,0.2,3.87,3.74,3.58,18.08764047
2022/1/5 03:45,2022,1,2022/1/5 00:00,3,5,3,45,4,2,0,16.3,94,0.2,3.55,3.87,3.74,18.08764047
2022/1/5 03:59,2022,1,2022/1/5 00:00,3,5,3,59,3.32,2,0,16.3,94,0.2,4,3.55,3.87,18.08764047
2022/1/5 04:15,2022,1,2022/1/5 00:00,3,5,4,15,3.57,2,0,17.3,90,0.6,3.32,4,3.55,18.96749808
2022/1/5 04:30,2022,1,2022/1/5 00:00,3,5,4,30,3.02,2,0,17.3,90,0.6,3.57,3.32,4,18.96749808
2022/1/5 04:45,2022,1,2022/1/5 00:00,3,5,4,45,3.39,2,0,17.3,90,0.6,3.02,3.57,3.32,18.96749808
2022/1/5 04:59,2022,1,2022/1/5 00:00,3,5,4,59,2.97,2,0,17.3,90,0.6,3.39,3.02,3.57,18.96749808
2022/1/5 05:15,2022,1,2022/1/5 00:00,3,5,5,15,2.83,2,0,16.9,91,0.5,2.97,3.39,3.02,18.5543463
2022/1/5 05:30,2022,1,2022/1/5 00:00,3,5,5,30,2.83,2,0,16.9,91,0.5,2.83,2.97,3.39,18.5543463
2022/1/5 05:45,2022,1,2022/1/5 00:00,3,5,5,45,2.78,2,0,16.9,91,0.5,2.83,2.83,2.97,18.5543463
2022/1/5 05:59,2022,1,2022/1/5 00:00,3,5,5,59,2.65,2,0,16.9,91,0.5,2.78,2.83,2.83,18.5543463
2022/1/5 06:15,2022,1,2022/1/5 00:00,3,5,6,15,2.83,2,0,16.4,91,0.2,2.65,2.78,2.83,18.10515911
2022/1/5 06:30,2022,1,2022/1/5 00:00,3,5,6,30,2.88,2,0,16.4,91,0.2,2.83,2.65,2.78,18.10515911
2022/1/5 06:45,2022,1,2022/1/5 00:00,3,5,6,45,2.73,2,0,16.4,91,0.2,2.88,2.83,2.65,18.10515911
2022/1/5 06:59,2022,1,2022/1/5 00:00,3,5,6,59,2.18,2,0,16.4,91,0.2,2.73,2.88,2.83,18.10515911
2022/1/5 07:15,2022,1,2022/1/5 00:00,3,5,7,15,2.78,2,0,16.1,92,0.4,2.18,2.73,2.88,17.62660847
2022/1/5 07:30,2022,1,2022/1/5 00:00,3,5,7,30,2.57,2,0,16.1,92,0.4,2.78,2.18,2.73,17.62660847
2022/1/5 07:45,2022,1,2022/1/5 00:00,3,5,7,45,2.36,2,0,16.1,92,0.4,2.57,2.78,2.18,17.62660847
2022/1/5 07:59,2022,1,2022/1/5 00:00,3,5,7,59,2.18,2,0,16.1,92,0.4,2.36,2.57,2.78,17.62660847
2022/1/5 08:15,2022,1,2022/1/5 00:00,3,5,8,15,2.54,2,0,17.4,86,0.2,2.18,2.36,2.57,19.19832941
2022/1/5 08:30,2022,1,2022/1/5 00:00,3,5,8,30,3.37,2,0,17.4,86,0.2,2.54,2.18,2.36,19.19832941
2022/1/5 08:45,2022,1,2022/1/5 00:00,3,5,8,45,3.24,2,0,17.4,86,0.2,3.37,2.54,2.18,19.19832941
2022/1/5 08:59,2022,1,2022/1/5 00:00,3,5,8,59,3.37,2,0,17.4,86,0.2,3.24,3.37,2.54,19.19832941
2022/1/5 09:15,2022,1,2022/1/5 00:00,3,5,9,15,4.07,2,0,18.5,81,0.4,3.37,3.24,3.37,20.27682635
2022/1/5 09:30,2022,1,2022/1/5 00:00,3,5,9,30,3.29,2,0,18.5,81,0.4,4.07,3.37,3.24,20.27682635
2022/1/5 09:45,2022,1,2022/1/5 00:00,3,5,9,45,3.55,2,0,18.5,81,0.4,3.29,4.07,3.37,20.27682635
2022/1/5 09:59,2022,1,2022/1/5 00:00,3,5,9,59,3.42,2,0,18.5,81,0.4,3.55,3.29,4.07,20.27682635
2022/1/5 10:15,2022,1,2022/1/5 00:00,3,5,10,15,3.6,2,0,20.1,73,0.9,3.42,3.55,3.29,21.64821699
2022/1/5 10:30,2022,1,2022/1/5 00:00,3,5,10,30,3.42,2,0,20.1,73,0.9,3.6,3.42,3.55,21.64821699
2022/1/5 10:45,2022,1,2022/1/5 00:00,3,5,10,45,3.32,2,0,20.1,73,0.9,3.42,3.6,3.42,21.64821699
2022/1/5 10:59,2022,1,2022/1/5 00:00,3,5,10,59,3.19,2,0,20.1,73,0.9,3.32,3.42,3.6,21.64821699
2022/1/5 11:15,2022,1,2022/1/5 00:00,3,5,11,15,3.84,2,0,21.2,70,1.2,3.19,3.32,3.42,22.71937932
2022/1/5 11:30,2022,1,2022/1/5 00:00,3,5,11,30,3.42,2,0,21.2,70,1.2,3.84,3.19,3.32,22.71937932
2022/1/5 11:45,2022,1,2022/1/5 00:00,3,5,11,45,4.07,2,0,21.2,70,1.2,3.42,3.84,3.19,22.71937932
2022/1/5 11:59,2022,1,2022/1/5 00:00,3,5,11,59,3.14,2,0,21.2,70,1.2,4.07,3.42,3.84,22.71937932
2022/1/5 12:15,2022,1,2022/1/5 00:00,3,5,12,15,3.6,2,0,21.2,76,1.3,3.14,4.07,3.42,22.95569755
2022/1/5 12:30,2022,1,2022/1/5 00:00,3,5,12,30,3.61,2,0,21.2,76,1.3,3.6,3.14,4.07,22.95569755
2022/1/5 12:45,2022,1,2022/1/5 00:00,3,5,12,45,3.37,2,0,21.2,76,1.3,3.61,3.6,3.14,22.95569755
2022/1/5 12:59,2022,1,2022/1/5 00:00,3,5,12,59,3.32,2,0,21.2,76,1.3,3.37,3.61,3.6,22.95569755
2022/1/5 13:15,2022,1,2022/1/5 00:00,3,5,13,15,3.65,2,0,21.9,76,0.9,3.32,3.37,3.61,24.13141754
2022/1/5 13:30,2022,1,2022/1/5 00:00,3,5,13,30,3.32,2,0,21.9,76,0.9,3.65,3.32,3.37,24.13141754
2022/1/5 13:45,2022,1,2022/1/5 00:00,3,5,13,45,3.66,2,0,21.9,76,0.9,3.32,3.65,3.32,24.13141754
2022/1/5 13:59,2022,1,2022/1/5 00:00,3,5,13,59,2.95,2,0,21.9,76,0.9,3.66,3.32,3.65,24.13141754
2022/1/5 14:15,2022,1,2022/1/5 00:00,3,5,14,15,3.89,2,0,22.8,70,1,2.95,3.66,3.32,24.92095713
2022/1/5 14:30,2022,1,2022/1/5 00:00,3,5,14,30,3.37,2,0,22.8,70,1,3.89,2.95,3.66,24.92095713
2022/1/5 14:45,2022,1,2022/1/5 00:00,3,5,14,45,3.37,2,0,22.8,70,1,3.37,3.89,2.95,24.92095713
2022/1/5 14:59,2022,1,2022/1/5 00:00,3,5,14,59,3.19,2,0,22.8,70,1,3.37,3.37,3.89,24.92095713
2022/1/5 15:15,2022,1,2022/1/5 00:00,3,5,15,15,3.84,2,0,22.1,73,1.8,3.19,3.37,3.37,23.65003916
2022/1/5 15:30,2022,1,2022/1/5 00:00,3,5,15,30,3.45,2,0,22.1,73,1.8,3.84,3.19,3.37,23.65003916
2022/1/5 15:45,2022,1,2022/1/5 00:00,3,5,15,45,3.37,2,0,22.1,73,1.8,3.45,3.84,3.19,23.65003916
2022/1/5 15:59,2022,1,2022/1/5 00:00,3,5,15,59,3.24,2,0,22.1,73,1.8,3.37,3.45,3.84,23.65003916
2022/1/5 16:15,2022,1,2022/1/5 00:00,3,5,16,15,3.5,2,0,21.2,75,2.8,3.24,3.37,3.45,21.93047784
2022/1/5 16:30,2022,1,2022/1/5 00:00,3,5,16,30,3.42,2,0,21.2,75,2.8,3.5,3.24,3.37,21.93047784
2022/1/5 16:45,2022,1,2022/1/5 00:00,3,5,16,45,3.45,2,0,21.2,75,2.8,3.42,3.5,3.24,21.93047784
2022/1/5 16:59,2022,1,2022/1/5 00:00,3,5,16,59,3.58,2,0,21.2,75,2.8,3.45,3.42,3.5,21.93047784
2022/1/5 17:15,2022,1,2022/1/5 00:00,3,5,17,15,3.42,2,0,21.1,75,1.9,3.58,3.45,3.42,22.38547238
2022/1/5 17:30,2022,1,2022/1/5 00:00,3,5,17,30,3.77,2,0,21.1,75,1.9,3.42,3.58,3.45,22.38547238
2022/1/5 17:45,2022,1,2022/1/5 00:00,3,5,17,45,3.53,2,0,21.1,75,1.9,3.77,3.42,3.58,22.38547238
2022/1/5 17:59,2022,1,2022/1/5 00:00,3,5,17,59,3.9,2,0,21.1,75,1.9,3.53,3.77,3.42,22.38547238
2022/1/5 18:15,2022,1,2022/1/5 00:00,3,5,18,15,4.24,2,0,19.9,80,2.2,3.9,3.53,3.77,20.87162416
2022/1/5 18:30,2022,1,2022/1/5 00:00,3,5,18,30,3.85,2,0,19.9,80,2.2,4.24,3.9,3.53,20.87162416
2022/1/5 18:45,2022,1,2022/1/5 00:00,3,5,18,45,3.02,2,0,19.9,80,2.2,3.85,4.24,3.9,20.87162416
2022/1/5 18:59,2022,1,2022/1/5 00:00,3,5,18,59,3.2,2,0,19.9,80,2.2,3.02,3.85,4.24,20.87162416
2022/1/5 19:15,2022,1,2022/1/5 00:00,3,5,19,15,3.57,2,0,20,76,2.2,3.2,3.02,3.85,20.81504746
2022/1/5 19:30,2022,1,2022/1/5 00:00,3,5,19,30,3.02,2,0,20,76,2.2,3.57,3.2,3.02,20.81504746
2022/1/5 19:45,2022,1,2022/1/5 00:00,3,5,19,45,3.39,2,0,20,76,2.2,3.02,3.57,3.2,20.81504746
2022/1/5 19:59,2022,1,2022/1/5 00:00,3,5,19,59,3.02,2,0,20,76,2.2,3.39,3.02,3.57,20.81504746
2022/1/5 20:15,2022,1,2022/1/5 00:00,3,5,20,15,3.2,2,0,20.6,69,2,3.02,3.39,3.02,21.38185522
2022/1/5 20:30,2022,1,2022/1/5 00:00,3,5,20,30,3.34,2,0,20.6,69,2,3.2,3.02,3.39,21.38185522
2022/1/5 20:45,2022,1,2022/1/5 00:00,3,5,20,45,3.2,2,0,20.6,69,2,3.34,3.2,3.02,21.38185522
2022/1/5 20:59,2022,1,2022/1/5 00:00,3,5,20,59,2.97,2,0,20.6,69,2,3.2,3.34,3.2,21.38185522
2022/1/5 21:15,2022,1,2022/1/5 00:00,3,5,21,15,3.44,2,0,20.8,65,1.5,2.97,3.2,3.34,21.76616566
2022/1/5 21:30,2022,1,2022/1/5 00:00,3,5,21,30,3.2,2,0,20.8,65,1.5,3.44,2.97,3.2,21.76616566
2022/1/5 21:45,2022,1,2022/1/5 00:00,3,5,21,45,3.15,2,0,20.8,65,1.5,3.2,3.44,2.97,21.76616566
2022/1/5 21:59,2022,1,2022/1/5 00:00,3,5,21,59,2.97,2,0,20.8,65,1.5,3.15,3.2,3.44,21.76616566
2022/1/5 22:15,2022,1,2022/1/5 00:00,3,5,22,15,3.34,2,0,21,63,1.5,2.97,3.15,3.2,21.92029545
2022/1/5 22:30,2022,1,2022/1/5 00:00,3,5,22,30,3.12,2,0,21,63,1.5,3.34,2.97,3.15,21.92029545
2022/1/5 22:45,2022,1,2022/1/5 00:00,3,5,22,45,3.15,2,0,21,63,1.5,3.12,3.34,2.97,21.92029545
2022/1/5 22:59,2022,1,2022/1/5 00:00,3,5,22,59,2.97,2,0,21,63,1.5,3.15,3.12,3.34,21.92029545
2022/1/5 23:15,2022,1,2022/1/5 00:00,3,5,23,15,3.44,2,0,20.6,63,2,2.97,3.15,3.12,21.09143303
2022/1/5 23:30,2022,1,2022/1/5 00:00,3,5,23,30,3.57,2,0,20.6,63,2,3.44,2.97,3.15,21.09143303
2022/1/5 23:45,2022,1,2022/1/5 00:00,3,5,23,45,3.07,2,0,20.6,63,2,3.57,3.44,2.97,21.09143303
2022/1/5 23:59,2022,1,2022/1/5 00:00,3,5,23,59,2.92,2,0,20.6,63,2,3.07,3.57,3.44,21.09143303
2022/1/6 00:15,2022,1,2022/1/6 00:00,4,6,0,15,3.2,3,0,15,93,0.9,2.92,3.07,3.57,15.93023757
2022/1/6 00:30,2022,1,2022/1/6 00:00,4,6,0,30,3.44,3,0,15,93,0.9,3.2,2.92,3.07,15.93023757
2022/1/6 00:45,2022,1,2022/1/6 00:00,4,6,0,45,3.1,3,0,15,93,0.9,3.44,3.2,2.92,15.93023757
2022/1/6 00:59,2022,1,2022/1/6 00:00,4,6,0,59,2.89,3,0,15,93,0.9,3.1,3.44,3.2,15.93023757
2022/1/6 01:15,2022,1,2022/1/6 00:00,4,6,1,15,3.57,3,0,18.1,81,0.4,2.89,3.1,3.44,19.7636613
2022/1/6 01:30,2022,1,2022/1/6 00:00,4,6,1,30,3.2,3,0,18.1,81,0.4,3.57,2.89,3.1,19.7636613
2022/1/6 01:45,2022,1,2022/1/6 00:00,4,6,1,45,3.07,3,0,18.1,81,0.4,3.2,3.57,2.89,19.7636613
2022/1/6 01:59,2022,1,2022/1/6 00:00,4,6,1,59,2.97,3,0,18.1,81,0.4,3.07,3.2,3.57,19.7636613
2022/1/6 02:15,2022,1,2022/1/6 00:00,4,6,2,15,3.44,3,0,18.7,76,0.9,2.97,3.07,3.2,19.99398315
2022/1/6 02:30,2022,1,2022/1/6 00:00,4,6,2,30,3.15,3,0,18.7,76,0.9,3.44,2.97,3.07,19.99398315
2022/1/6 02:45,2022,1,2022/1/6 00:00,4,6,2,45,3.92,3,0,18.7,76,0.9,3.15,3.44,2.97,19.99398315
2022/1/6 02:59,2022,1,2022/1/6 00:00,4,6,2,59,3.5,3,0,18.7,76,0.9,3.92,3.15,3.44,19.99398315
2022/1/6 03:15,2022,1,2022/1/6 00:00,4,6,3,15,4.1,3,0,18.6,78,1.9,3.5,3.92,3.15,19.30213633
2022/1/6 03:30,2022,1,2022/1/6 00:00,4,6,3,30,3.87,3,0,18.6,78,1.9,4.1,3.5,3.92,19.30213633
2022/1/6 03:45,2022,1,2022/1/6 00:00,4,6,3,45,3.87,3,0,18.6,78,1.9,3.87,4.1,3.5,19.30213633
2022/1/6 03:59,2022,1,2022/1/6 00:00,4,6,3,59,3.37,3,0,18.6,78,1.9,3.87,3.87,4.1,19.30213633
2022/1/6 04:15,2022,1,2022/1/6 00:00,4,6,4,15,3.62,3,0,18.6,79,1.7,3.37,3.87,3.87,19.47489449
2022/1/6 04:30,2022,1,2022/1/6 00:00,4,6,4,30,3.07,3,0,18.6,79,1.7,3.62,3.37,3.87,19.47489449
2022/1/6 04:45,2022,1,2022/1/6 00:00,4,6,4,45,3.44,3,0,18.6,79,1.7,3.07,3.62,3.37,19.47489449
2022/1/6 04:59,2022,1,2022/1/6 00:00,4,6,4,59,3.02,3,0,18.6,79,1.7,3.44,3.07,3.62,19.47489449
2022/1/6 05:15,2022,1,2022/1/6 00:00,4,6,5,15,3.14,3,0,17.5,85,0.7,3.02,3.44,3.07,18.96199589
2022/1/6 05:30,2022,1,2022/1/6 00:00,4,6,5,30,2.78,3,0,17.5,85,0.7,3.14,3.02,3.44,18.96199589
2022/1/6 05:45,2022,1,2022/1/6 00:00,4,6,5,45,2.88,3,0,17.5,85,0.7,2.78,3.14,3.02,18.96199589
2022/1/6 05:59,2022,1,2022/1/6 00:00,4,6,5,59,2.83,3,0,17.5,85,0.7,2.88,2.78,3.14,18.96199589
2022/1/6 06:15,2022,1,2022/1/6 00:00,4,6,6,15,3.12,3,0,18.3,82,2.6,2.83,2.88,2.78,18.63197346
2022/1/6 06:30,2022,1,2022/1/6 00:00,4,6,6,30,2.83,3,0,18.3,82,2.6,3.12,2.83,2.88,18.63197346
2022/1/6 06:45,2022,1,2022/1/6 00:00,4,6,6,45,2.78,3,0,18.3,82,2.6,2.83,3.12,2.83,18.63197346
2022/1/6 06:59,2022,1,2022/1/6 00:00,4,6,6,59,2.41,3,0,18.3,82,2.6,2.78,2.83,3.12,18.63197346
2022/1/6 07:15,2022,1,2022/1/6 00:00,4,6,7,15,2.7,3,0,18.1,81,2.9,2.41,2.78,2.83,18.1386613
2022/1/6 07:30,2022,1,2022/1/6 00:00,4,6,7,30,2.49,3,0,18.1,81,2.9,2.7,2.41,2.78,18.1386613
2022/1/6 07:45,2022,1,2022/1/6 00:00,4,6,7,45,2.41,3,0,18.1,81,2.9,2.49,2.7,2.41,18.1386613
2022/1/6 07:59,2022,1,2022/1/6 00:00,4,6,7,59,2.54,3,0,18.1,81,2.9,2.41,2.49,2.7,18.1386613
2022/1/6 08:15,2022,1,2022/1/6 00:00,4,6,8,15,2.49,3,0,18.2,76,1.9,2.54,2.41,2.49,18.70827294
2022/1/6 08:30,2022,1,2022/1/6 00:00,4,6,8,30,3.19,3,0,18.2,76,1.9,2.49,2.54,2.41,18.70827294
2022/1/6 08:45,2022,1,2022/1/6 00:00,4,6,8,45,3.52,3,0,18.2,76,1.9,3.19,2.49,2.54,18.70827294
2022/1/6 08:59,2022,1,2022/1/6 00:00,4,6,8,59,3.24,3,0,18.2,76,1.9,3.52,3.19,2.49,18.70827294
2022/1/6 09:15,2022,1,2022/1/6 00:00,4,6,9,15,3.94,3,0,19.7,66,1.8,3.24,3.52,3.19,20.23096381
2022/1/6 09:30,2022,1,2022/1/6 00:00,4,6,9,30,3.7,3,0,19.7,66,1.8,3.94,3.24,3.52,20.23096381
2022/1/6 09:45,2022,1,2022/1/6 00:00,4,6,9,45,4.3,3,0,19.7,66,1.8,3.7,3.94,3.24,20.23096381
2022/1/6 09:59,2022,1,2022/1/6 00:00,4,6,9,59,3.42,3,0,19.7,66,1.8,4.3,3.7,3.94,20.23096381
2022/1/6 10:15,2022,1,2022/1/6 00:00,4,6,10,15,4.07,3,0,20.8,61,3,3.42,4.3,3.7,20.59515547
2022/1/6 10:30,2022,1,2022/1/6 00:00,4,6,10,30,3.42,3,0,20.8,61,3,4.07,3.42,4.3,20.59515547
2022/1/6 10:38,2022,1,2022/1/6 00:00,4,6,10,38,2.13,3,0,20.8,61,3,3.42,4.07,3.42,20.59515547
2022/1/6 11:15,2022,1,2022/1/6 00:00,4,6,11,15,3.65,3,0,21.2,58,3,5.65,2.13,3.42,20.94674286
2022/1/6 11:30,2022,1,2022/1/6 00:00,4,6,11,30,3.47,3,0,21.2,58,3,3.65,5.65,2.13,20.94674286
2022/1/6 11:45,2022,1,2022/1/6 00:00,4,6,11,45,3.79,3,0,21.2,58,3,3.47,3.65,5.65,20.94674286
2022/1/6 11:59,2022,1,2022/1/6 00:00,4,6,11,59,3.19,3,0,21.2,58,3,3.79,3.47,3.65,20.94674286
2022/1/6 12:15,2022,1,2022/1/6 00:00,4,6,12,15,3.78,3,0,21,58,2.7,3.19,3.79,3.47,20.89225612
2022/1/6 12:30,2022,1,2022/1/6 00:00,4,6,12,30,3.66,3,0,21,58,2.7,3.78,3.19,3.79,20.89225612
2022/1/6 12:45,2022,1,2022/1/6 00:00,4,6,12,45,3.42,3,0,21,58,2.7,3.66,3.78,3.19,20.89225612
2022/1/6 12:59,2022,1,2022/1/6 00:00,4,6,12,59,3.29,3,0,21,58,2.7,3.42,3.66,3.78,20.89225612
2022/1/6 13:15,2022,1,2022/1/6 00:00,4,6,13,15,3.73,3,0,22.1,56,3.8,3.29,3.42,3.66,21.44809853
2022/1/6 13:30,2022,1,2022/1/6 00:00,4,6,13,30,3.53,3,0,22.1,56,3.8,3.73,3.29,3.42,21.44809853
2022/1/6 13:45,2022,1,2022/1/6 00:00,4,6,13,45,2.85,3,0,22.1,56,3.8,3.53,3.73,3.29,21.44809853
2022/1/6 13:59,2022,1,2022/1/6 00:00,4,6,13,59,2.91,3,0,22.1,56,3.8,2.85,3.53,3.73,21.44809853
2022/1/6 14:15,2022,1,2022/1/6 00:00,4,6,14,15,3.32,3,0,21.9,56,3.5,2.91,2.85,3.53,21.39314977
2022/1/6 14:30,2022,1,2022/1/6 00:00,4,6,14,30,3.01,3,0,21.9,56,3.5,3.32,2.91,2.85,21.39314977
2022/1/6 14:45,2022,1,2022/1/6 00:00,4,6,14,45,2.72,3,0,21.9,56,3.5,3.01,3.32,2.91,21.39314977
2022/1/6 14:59,2022,1,2022/1/6 00:00,4,6,14,59,3.04,3,0,21.9,56,3.5,2.72,3.01,3.32,21.39314977
2022/1/6 15:15,2022,1,2022/1/6 00:00,4,6,15,15,3.01,3,0,18.9,76,3.2,3.04,2.72,3.01,18.75404466
2022/1/6 15:30,2022,1,2022/1/6 00:00,4,6,15,30,2.72,3,0,18.9,76,3.2,3.01,3.04,2.72,18.75404466
2022/1/6 15:45,2022,1,2022/1/6 00:00,4,6,15,45,3.04,3,0,18.9,76,3.2,2.72,3.01,3.04,18.75404466
2022/1/6 15:59,2022,1,2022/1/6 00:00,4,6,15,59,2.72,3,0,18.9,76,3.2,3.04,2.72,3.01,18.75404466
2022/1/6 16:15,2022,1,2022/1/6 00:00,4,6,16,15,3.14,3,0,17.8,79,3.2,2.72,3.04,2.72,17.4786703
2022/1/6 16:30,2022,1,2022/1/6 00:00,4,6,16,30,2.91,3,0,17.8,79,3.2,3.14,2.72,3.04,17.4786703
2022/1/6 16:45,2022,1,2022/1/6 00:00,4,6,16,45,2.72,3,0,17.8,79,3.2,2.91,3.14,2.72,17.4786703
2022/1/6 16:59,2022,1,2022/1/6 00:00,4,6,16,59,2.88,3,0,17.8,79,3.2,2.72,2.91,3.14,17.4786703
2022/1/6 17:15,2022,1,2022/1/6 00:00,4,6,17,15,3.63,3,0,16.8,88,2.9,2.88,2.72,2.91,16.75072928
2022/1/6 17:30,2022,1,2022/1/6 00:00,4,6,17,30,2.94,3,0,16.8,88,2.9,3.63,2.88,2.72,16.75072928
2022/1/6 17:45,2022,1,2022/1/6 00:00,4,6,17,45,3.4,3,0,16.8,88,2.9,2.94,3.63,2.88,16.75072928
2022/1/6 17:59,2022,1,2022/1/6 00:00,4,6,17,59,2.74,3,0,16.8,88,2.9,3.4,2.94,3.63,16.75072928
2022/1/6 18:15,2022,1,2022/1/6 00:00,4,6,18,15,2.55,3,0,17.2,85,2.1,2.74,3.4,2.94,17.6673833
2022/1/6 18:30,2022,1,2022/1/6 00:00,4,6,18,30,2.66,3,0,17.2,85,2.1,2.55,2.74,3.4,17.6673833
2022/1/6 18:45,2022,1,2022/1/6 00:00,4,6,18,45,3.07,3,0,17.2,85,2.1,2.66,2.55,2.74,17.6673833
2022/1/6 18:59,2022,1,2022/1/6 00:00,4,6,18,59,2.74,3,0,17.2,85,2.1,3.07,2.66,2.55,17.6673833
2022/1/6 19:15,2022,1,2022/1/6 00:00,4,6,19,15,3.07,3,0,16.5,86,2.4,2.74,3.07,2.66,16.61646014
2022/1/6 19:30,2022,1,2022/1/6 00:00,4,6,19,30,2.97,3,0,16.5,86,2.4,3.07,2.74,3.07,16.61646014
2022/1/6 19:45,2022,1,2022/1/6 00:00,4,6,19,45,2.97,3,0,16.5,86,2.4,2.97,3.07,2.74,16.61646014
2022/1/6 19:59,2022,1,2022/1/6 00:00,4,6,19,59,2.32,3,0,16.5,86,2.4,2.97,2.97,3.07,16.61646014
2022/1/6 20:15,2022,1,2022/1/6 00:00,4,6,20,15,2.79,3,0,16.1,86,2.8,2.32,2.97,2.97,15.84750357
2022/1/6 20:30,2022,1,2022/1/6 00:00,4,6,20,30,2.79,3,0,16.1,86,2.8,2.79,2.32,2.97,15.84750357
2022/1/6 20:45,2022,1,2022/1/6 00:00,4,6,20,45,2.66,3,0,16.1,86,2.8,2.79,2.79,2.32,15.84750357
2022/1/6 20:59,2022,1,2022/1/6 00:00,4,6,20,59,2.5,3,0,16.1,86,2.8,2.66,2.79,2.79,15.84750357
2022/1/6 21:15,2022,1,2022/1/6 00:00,4,6,21,15,2.74,3,0,15.4,90,1.8,2.5,2.66,2.79,15.75079249
2022/1/6 21:30,2022,1,2022/1/6 00:00,4,6,21,30,2.84,3,0,15.4,90,1.8,2.74,2.5,2.66,15.75079249
2022/1/6 21:45,2022,1,2022/1/6 00:00,4,6,21,45,2.37,3,0,15.4,90,1.8,2.84,2.74,2.5,15.75079249
2022/1/6 21:59,2022,1,2022/1/6 00:00,4,6,21,59,2.56,3,0,15.4,90,1.8,2.37,2.84,2.74,15.75079249
2022/1/6 22:15,2022,1,2022/1/6 00:00,4,6,22,15,2.92,3,0,15.7,89,2.7,2.56,2.37,2.84,15.51212625
2022/1/6 22:30,2022,1,2022/1/6 00:00,4,6,22,30,2.42,3,0,15.7,89,2.7,2.92,2.56,2.37,15.51212625
2022/1/6 22:45,2022,1,2022/1/6 00:00,4,6,22,45,2.74,3,0,15.7,89,2.7,2.42,2.92,2.56,15.51212625
2022/1/6 22:59,2022,1,2022/1/6 00:00,4,6,22,59,2.32,3,0,15.7,89,2.7,2.74,2.42,2.92,15.51212625
2022/1/6 23:15,2022,1,2022/1/6 00:00,4,6,23,15,2.97,3,0,15.4,92,0.9,2.32,2.74,2.42,16.40563233
2022/1/6 23:30,2022,1,2022/1/6 00:00,4,6,23,30,2.56,3,0,15.4,92,0.9,2.97,2.32,2.74,16.40563233
2022/1/6 23:45,2022,1,2022/1/6 00:00,4,6,23,45,2.71,3,0,15.4,92,0.9,2.56,2.97,2.32,16.40563233
2022/1/6 23:59,2022,1,2022/1/6 00:00,4,6,23,59,2.32,3,0,15.4,92,0.9,2.71,2.56,2.97,16.40563233
2022/1/7 00:15,2022,1,2022/1/7 00:00,5,7,0,15,2.92,4,0,15.8,78,2.2,2.32,2.71,2.56,15.5703606
2022/1/7 00:30,2022,1,2022/1/7 00:00,5,7,0,30,2.66,4,0,15.8,78,2.2,2.92,2.32,2.71,15.5703606
2022/1/7 00:45,2022,1,2022/1/7 00:00,5,7,0,45,2.55,4,0,15.8,78,2.2,2.66,2.92,2.32,15.5703606
2022/1/7 00:59,2022,1,2022/1/7 00:00,5,7,0,59,2.69,4,0,15.8,78,2.2,2.55,2.66,2.92,15.5703606
2022/1/7 01:15,2022,1,2022/1/7 00:00,5,7,1,15,2.74,4,0,15.1,95,0.8,2.69,2.55,2.66,16.19115125
2022/1/7 01:30,2022,1,2022/1/7 00:00,5,7,1,30,2.47,4,0,15.1,95,0.8,2.74,2.69,2.55,16.19115125
